Entity,Confirmed,Deaths,DaysSince100,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Ecuador,1924,58,12,17.3737,10.7376,69.9535,104296.0,6273.0,2.1,15.0,1.59,2.8,25.83,22.0,6.75,28.1,Latin America and the Caribbean,0.030145530145530147,52.73433270923731,7.382806579293223,69.64911867257757
Egypt,609,40,16,100.3881,8.1171,100.8469,195136.0,2000.0,0.8,17.0,,2.2,24.93,34.6,31.6,27.1,Northern Africa,0.06568144499178982,7.583070104922795,0.35685035787871977,
Estonia,679,3,16,1.3256,26.5131,31.2727,25921.0,19793.0,3.5,54.0,15.54,14.8,40.78,18.9,28.950000000000006,39.7,Northern Europe,0.004418262150220913,146.3488231744116,9.485571872415566,32.96144666090351
Finland,1240,11,17,5.5322,28.6043,18.2045,252247.0,45670.0,3.8,62.0,20.09,8.6,42.24,19.9,16.65,28.8,Northern Europe,0.008870967741935484,58.98481426443083,3.6151982936264058,11.156908621445353
Guadeloupe,106,4,2,0.4001,25.3527,245.7346,,,,,,5.5,,,,,Latin America and the Caribbean,0.03773584905660377,,,
R�union,183,0,5,0.8889,17.6108,355.5708,,,,,,4.9,,,,,Sub-Saharan Africa,0.0,,,
France,40174,2606,30,65.1297,26.4596,118.946,2582492.0,38415.0,3.2,69.0,,4.7,40.43,15.6,25.05,22.5,Western Europe,0.06486782496141784,192.75960122647578,8.93957570905395,
Germany,62095,533,29,83.51700000000001,28.3472,239.6059,3693204.0,44976.0,4.2,82.0,,8.9,45.09,21.3,28.05,26.0,Western Europe,0.008583621869715757,177.02412454379115,9.067089305901499,
Ghana,152,5,4,30.4179,5.1552,133.6814,58996.0,2046.0,0.2,9.0,0.15,0.6,20.45,8.0,8.65,32.2,Sub-Saharan Africa,0.03289473684210526,24.985288267763387,0.5552286281725197,33.31371769035118
Greece,1156,38,17,10.4735,28.298000000000002,81.2526,203086.0,18198.0,4.6,48.0,33.16,6.1,42.47,17.5,38.0,22.5,Southern Europe,0.0328719723183391,23.994304466137105,2.299454178004806,3.32852233245569
Honduras,110,3,1,9.7461,7.1751,87.1045,22979.0,2480.0,0.3,8.0,2.1,1.2,21.57,19.8,12.6,27.9,Latin America and the Caribbean,0.02727272727272727,37.62188636138216,1.410820738551831,5.3745551944831655
Hungary,408,13,9,9.6847,26.5522,106.9776,139761.0,14376.0,3.2,71.0,6.63,4.3,40.35,24.8,22.75,36.8,Eastern Europe,0.031862745098039214,13.16509545984904,0.5933564150917877,6.354193887106626
Iceland,1020,2,18,0.33899999999999997,21.0904,3.3819,24477.0,73060.0,4.0,58.0,39.45,6.1,35.3,21.9,10.95,20.1,Northern Europe,0.00196078431372549,752.212389380531,51.87671650900214,76.26995076101709
India,1024,27,16,1366.4178,9.8703,459.5797,2575667.0,1923.0,0.8,9.0,,1.7,26.07,1.9,7.75,22.9,Southern Asia,0.0263671875,0.9367559468268051,0.08326719527349379,
Indonesia,1285,114,15,270.6256,9.7169,149.3873,1015539.0,3847.0,0.4,6.0,,1.8,27.47,4.7,44.9,30.9,South-eastern Asia,0.088715953307393,11.870643427672768,0.7913762285115179,
Iran (Islamic Republic of),38309,2640,33,82.9139,9.9872,50.9127,460976.0,5680.0,1.1,17.0,,8.3,27.99,21.6,8.95,28.9,Southern Asia,0.06891331018820643,420.0304609524294,27.17844159103955,
Iraq,547,42,17,39.3098,5.0917,90.5088,182024.0,4756.0,0.8,13.0,2.22,4.8,19.5,29.4,,29.4,Western Asia,0.07678244972577697,17.393881423970612,1.070392703013576,6.268065378007427
Ireland,2615,46,16,4.8825,19.2596,70.8738,331430.0,69604.0,3.1,49.0,4.54,7.3,34.94,24.5,17.9,27.7,Northern Europe,0.017590822179732315,172.76976694250368,10.930332194321661,117.97054570963908
Israel,4247,15,18,8.5194,16.3395,393.6866,353268.0,42452.0,3.2,35.0,7.5,8.1,30.1,25.5,29.5,19.6,Western Asia,0.0035319048740287263,155.78415146606568,14.24312241975458,66.46790462552137
Italy,97689,10779,36,60.5501,29.3835,205.8546,1943835.0,32747.0,4.1,36.0,,5.4,43.99,17.2,22.700000000000006,24.6,Southern Europe,0.1103399563922243,393.50199860699917,44.815505396908236,
Japan,1866,54,38,126.8603,34.0143,347.9867,4872415.0,38220.0,2.4,137.0,101.18,9.6,45.53,4.5,17.1,21.5,Eastern Asia,0.028938906752411574,6.128788911897576,0.10736564517192833,0.14537550295072327
Jordan,259,3,8,10.1017,5.9161,113.7834,40708.0,4196.0,2.3,18.0,5.5,3.6,23.06,34.3,50.15,23.2,Western Asia,0.011583011583011582,11.147499495349686,1.424402713294682,4.661681607146232
Kazakhstan,284,1,4,18.5514,11.8639,6.8717,159407.0,8756.0,3.3,76.0,1.46,14.3,29.2,24.4,22.700000000000006,35.8,Central Asia,0.0035211267605633804,4.63903565556271,0.20143181135995977,10.48549155024448
Republic of Korea,9583,152,39,51.2253,22.1182,526.8467,1530751.0,30025.0,2.4,103.0,35.38,11.7,38.85,7.3,23.8,15.6,Eastern Asia,0.015861421266826672,77.94813630504198,1.816267253709716,5.287606758962712
