Entity,Confirmed,Deaths,DaysSince100,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Afghanistan,2.0827853703164503,0.6989700043360189,0.47712125471966244,1.5802610579912653,4.1655,1.7654405461829814,4.342284474225749,2.791690649020118,-0.5228787452803376,0.6020599913279624,-0.6989700043360187,-0.5228787452803376,16.2,2.4,,27.6,Southern Asia,0.03333333333333333,1.021798933336697,-0.10313980327160295,1.1978901923923782
Albania,2.3283796034387376,1.0413926851582251,0.8450980400142568,0.4595281835834572,20.4779,2.0217803643968653,4.115244285327255,3.6483600109809315,0.07918124604762482,1.4471580313422192,0.7291647896927701,0.3010299956639812,32.56,21.1,27.05,35.4,Southern Europe,0.04716981132075472,1.7876264312976695,0.419649646003075,1.1376428876525242
Algeria,2.709269960975831,1.505149978319906,0.9542425094393249,1.6340044279016994,9.6817,1.2571095404077486,5.224157392123602,3.6079908585471747,0.25527250510330607,1.2304489213782739,,0.568201724066995,26.62,17.5,,33.6,Northern Africa,0.060665362035225046,0.8191439671297073,-0.15603244914526054,
Andorra,2.525044807036845,0.8450980400142568,0.9030899869919435,-1.112945621949043,19.0387,2.2151929969432995,3.478999131673357,4.592765044389603,0.5185139398778874,1.3979400086720377,,0.8061799739838872,,24.2,30.2,23.2,Southern Europe,0.017964071856287425,3.11817814888272,2.23875208008857,
Argentina,2.8727388274726686,1.3010299956639813,1.0,1.6510908780719808,15.3941,1.2138655845037587,5.804470651553821,4.158362492095249,0.6020599913279624,1.6532125137753437,,0.6720978579357175,30.83,29.4,17.7,24.1,Latin America and the Caribbean,0.025503355704697986,0.6190054033483496,-0.4321471190990317,
Armenia,2.6283889300503116,0.6020599913279624,1.0413926851582251,0.47095412133364856,17.9115,2.0165712380638907,4.062092892630169,3.5951654147902294,0.4623979978989561,1.568201724066995,0.48000694295715063,0.25527250510330607,32.3,23.4,22.85,39.3,Western Asia,0.007075471698113208,1.694013737360128,0.588210011192089,1.6764047923019334
Austria,3.9439394644722165,1.9395192526186185,1.3424226808222062,0.9520704399009303,25.3214,2.0360960789098623,5.619965219711307,4.678682232836399,0.7075701760979364,1.8864907251724818,1.4546924492394768,0.8388490907372553,42.4,18.3,30.95,24.3,Western Europe,0.00978607191624943,2.2842494322496063,1.1053288831750605,1.5371271591080655
Azerbaijan,2.322219294733919,0.6989700043360189,0.6020599913279624,1.0020666596047452,11.0734,2.0847824741756065,4.610116955411928,3.617629297757842,0.5314789170422551,1.8750612633917,0.02530586526477026,0.5910646070264992,29.34,24.7,20.45,33.6,Western Asia,0.019138755980861243,0.7866007094640537,-0.5569816368853913,1.2927737612415386
Bahrain,2.6989700043360187,0.6989700043360189,1.3010299956639813,0.21516150829487504,5.1096,3.3343404981205387,4.548094464599433,4.374161560604974,-0.045757490560675115,1.255272505103306,,1.3617278360175928,30.07,32.6,48.45,33.9,Western Asia,0.008016032064128256,2.52869652788919,1.227666532225209,
Belgium,4.034909073367748,2.635483746814912,1.380211241711606,1.0621794643346179,25.2634,2.5810247037707095,5.694398091987526,4.636377553484719,0.5185139398778874,1.8129133566428555,,0.919078092376074,41.41,19.1,20.0,20.7,Western Europe,0.039774824658545586,2.4541755921486255,1.1597761753836573,
Bosnia and Herzegovina,2.510545010206612,0.8450980400142568,0.9030899869919435,0.5186455243303115,24.4739,1.8110754140146303,4.259331024917654,3.714413592287121,0.3010299956639812,1.5314789170422551,1.216165902285993,0.7634279935629372,39.23,24.2,34.75,38.7,Southern Europe,0.018575851393188854,1.68952700233681,0.4590780809585362,0.7743910957147982
Brazil,3.6291036501771363,2.1367205671564067,1.2304489213782739,2.324384327599178,13.5897,1.4022751420618766,6.312920016518252,3.9921557110426167,0.3222192947339193,1.380211241711606,,0.414973347970818,29.89,19.5,11.65,32.7,Latin America and the Caribbean,0.03195488721804511,0.9823979969538948,-0.07559395002379178,
Brunei Darussalam,2.103803720955957,0.3010299956639812,0.7781512503836436,-0.3632113109656252,8.9655,1.9149632105329368,4.083789188287978,4.451648298705005,0.25527250510330607,1.414973347970818,0.8561244442423003,1.3384564936046048,30.14,7.9,16.35,20.5,South-eastern Asia,0.007936507936507936,2.208309350979882,1.0486085081123702,1.6074574118408878
Bulgaria,2.5403294747908736,0.9542425094393249,1.0,0.8451042441768258,28.0121,1.809435805201345,4.765087119928712,3.9147661369258526,0.6020599913279624,1.8195439355418688,,0.7708520116421442,42.84,21.4,28.4,35.5,Eastern Europe,0.023121387283236993,1.0919118632879885,-0.12557208092591787,
Burkina Faso,2.3483048630481607,1.1139433523068367,0.7781512503836436,1.3079536244450667,3.9008,1.8708368133211344,4.090786927949267,2.807535028068853,-1.0,0.6020599913279624,-0.18708664335714442,-1.0,17.01,2.4,25.95,36.1,Sub-Saharan Africa,0.05405405405405406,2.0383993500055717,0.4363393586776095,1.2254859933627162
Cambodia,2.0170333392987803,0.0,0.0,1.2171284669227096,7.3537,1.9703357164854647,4.344804755754967,3.1405080430381798,-0.6989700043360187,,0.07554696139253074,-0.3979400086720376,24.1,2.3,21.25,19.4,South-eastern Asia,0.0,1.4946787621184814,,0.7201617963899317
