Entity,Confirmed cases,Deaths,Days since confirmed cases >= 100,Population in 2019 (millions),Population aged 60+ years old (percentage),Population density in 2019,GDP in 2017 (millions of US dollars),GDP per capita in 2017 (US dollars),Physicians (per 1000 population),Hospital beds per 10000 population,CT units per million population,CO2 emissions per capita,Population median age,Adults aged >= 20 years who are obese (%),Prevalence of smoking,Raised blood pressure,Geographic region
R�union,183,0,5,0.8889,17.6108,355.5708,,,,,,4.9,,,,,Sub-Saharan Africa
France,40174,2606,30,65.1297,26.4596,118.946,2582492.0,38415.0,3.2,69.0,,4.7,40.43,15.6,25.049999999999997,22.5,Western Europe
Germany,62095,533,29,83.517,28.3472,239.6059,3693204.0,44976.0,4.2,82.0,,8.9,45.09,21.3,28.05,26.0,Western Europe
Ghana,152,5,4,30.4179,5.1552,133.6814,58996.0,2046.0,0.2,9.0,0.15,0.6,20.45,8.0,8.65,32.2,Sub-Saharan Africa
Greece,1156,38,17,10.4735,28.298,81.2526,203086.0,18198.0,4.6,48.0,33.16,6.1,42.47,17.5,38.0,22.5,Southern Europe
Honduras,110,3,1,9.7461,7.1751,87.1045,22979.0,2480.0,0.3,8.0,2.1,1.2,21.57,19.8,12.6,27.9,Latin America and the Caribbean
Hungary,408,13,9,9.6847,26.5522,106.9776,139761.0,14376.0,3.2,71.0,6.63,4.3,40.35,24.8,22.75,36.8,Eastern Europe
Iceland,1020,2,18,0.339,21.0904,3.3819,24477.0,73060.0,4.0,58.0,39.45,6.1,35.3,21.9,10.95,20.1,Northern Europe
India,1024,27,16,1366.4178,9.8703,459.5797,2575667.0,1923.0,0.8,9.0,,1.7,26.07,1.9,7.75,22.9,Southern Asia
Indonesia,1285,114,15,270.6256,9.7169,149.3873,1015539.0,3847.0,0.4,6.0,,1.8,27.47,4.7,44.9,30.9,South-eastern Asia
Iran (Islamic Republic of),38309,2640,33,82.9139,9.9872,50.9127,460976.0,5680.0,1.1,17.0,,8.3,27.99,21.6,8.95,28.9,Southern Asia
Iraq,547,42,17,39.3098,5.0917,90.5088,182024.0,4756.0,0.8,13.0,2.22,4.8,19.5,29.4,,29.4,Western Asia
Ireland,2615,46,16,4.8825,19.2596,70.8738,331430.0,69604.0,3.1,49.0,4.54,7.3,34.94,24.5,17.9,27.7,Northern Europe
Israel,4247,15,18,8.5194,16.3395,393.6866,353268.0,42452.0,3.2,35.0,7.5,8.1,30.1,25.5,29.5,19.6,Western Asia
Italy,97689,10779,36,60.5501,29.3835,205.8546,1943835.0,32747.0,4.1,36.0,,5.4,43.99,17.2,22.700000000000003,24.6,Southern Europe
Japan,1866,54,38,126.8603,34.0143,347.9867,4872415.0,38220.0,2.4,137.0,101.18,9.6,45.53,4.5,17.1,21.5,Eastern Asia
Jordan,259,3,8,10.1017,5.9161,113.7834,40708.0,4196.0,2.3,18.0,5.5,3.6,23.06,34.3,50.15,23.2,Western Asia
Kazakhstan,284,1,4,18.5514,11.8639,6.8717,159407.0,8756.0,3.3,76.0,1.46,14.3,29.2,24.4,22.700000000000003,35.8,Central Asia
Republic of Korea,9583,152,39,51.2253,22.1182,526.8467,1530751.0,30025.0,2.4,103.0,35.38,11.7,38.85,7.3,23.8,15.6,Eastern Asia
Kuwait,255,0,16,4.2071,5.9971,236.0877,119534.0,28897.0,2.6,20.0,,25.4,28.95,42.8,,27.1,Western Asia
Latvia,347,0,10,1.9067,27.1487,30.655,30463.0,15625.0,3.2,64.0,,3.5,41.44,22.0,34.25,38.3,Northern Europe
Lebanon,438,10,15,6.8557,10.8001,670.1577,53394.0,8778.0,2.3,35.0,25.09,4.3,29.4,28.2,46.55,29.8,Western Asia
Lithuania,460,7,8,2.7596,26.8613,44.0314,47544.0,16450.0,4.3,68.0,20.22,4.4,39.09,24.7,27.3,39.8,Northern Europe
Luxembourg,1950,21,13,0.6157,19.72,237.7332,62316.0,106806.0,3.0,56.0,18.85,17.3,39.0,23.4,20.6,23.1,Western Europe
Malaysia,2470,35,21,31.9498,10.6166,97.2448,314707.0,9951.0,1.5,18.0,6.43,8.1,26.99,14.1,19.299999999999997,26.8,South-eastern Asia
Malta,151,0,7,0.4404,27.6348,1376.1625,12553.0,29137.0,3.8,45.0,9.32,5.6,40.65,26.6,21.45,25.1,Southern Europe
Mauritius,107,3,2,1.2697,17.7765,625.4522,13366.0,10565.0,2.0,34.0,6.43,3.3,34.18,18.2,19.900000000000002,37.6,Sub-Saharan Africa
Mexico,848,16,11,127.5755,10.9519,65.627,1158229.0,8967.0,2.2,16.0,3.65,3.8,26.64,32.8,9.4,24.4,Latin America and the Caribbean
Republic of Moldova,263,2,7,4.0433,18.4187,123.0826,8128.0,2006.0,3.2,62.0,5.45,1.2,35.61,20.4,27.599999999999998,37.2,Eastern Europe
Morocco,479,26,8,36.4718,11.4371,81.7203,109709.0,3070.0,0.7,11.0,1.21,1.7,26.7,17.3,28.85,35.8,Northern Africa
Netherlands,10866,771,24,17.0971,26.0631,507.0323,830573.0,48754.0,3.5,47.0,12.23,9.9,41.47,16.2,20.5,23.2,Western Europe
