"Country or Area","Year(s)","Value","Value Footnotes"
"Republic of Korea","2013","35.38",""
"Republic of Korea","2010","36.17",""
"Republic of Moldova","2013","5.45",""
"Republic of Moldova","2010","2.24","1"
"Romania","2013","5.44",""
"Romania","2010","5.49",""
"Saint Kitts and Nevis","2013","18.45",""
"Saint Kitts and Nevis","2010","19.08",""
"Saint Lucia","2013","10.97",""
"Saint Lucia","2010","11.48",""
"Saint Vincent and the Grenadines","2013","0",""
"Saint Vincent and the Grenadines","2010","0.00",""
"Samoa","2013","5.25",""
"Samoa","2010","5.46",""
"San Marino","2013","31.8",""
"San Marino","2010","31.71",""
"Saudi Arabia","2013","3.82","1"
"Saudi Arabia","2010","4.01","1"
"Senegal","2013","0.35","1"
"Senegal","2010","0.40","1"
"Serbia","2013","13.67",""
"Serbia","2010","13.19",""
"Seychelles","2013","10.77","1"
"Seychelles","2010","11.56",""
"Sierra Leone","2013","0.33",""
"Sierra Leone","2010","0.34",""
"Singapore","2013","8.87",""
"Singapore","2010","9.44",""
"Slovenia","2013","13.51","1"
"Slovenia","2010","12.32","1"
"South Africa","2013","0.97","1"
"South Africa","2010","1.02","1"
"Spain","2013","13.85",""
"Spain","2010","14.11",""
"Sri Lanka","2013","1.22",""
"Sri Lanka","2010","1.25",""
"Sudan","2013","1.13",""
"Sudan","2010","0.99",""
"Suriname","2013","7.42",""
"Suriname","2010","7.62",""
"Swaziland","2013","2.4",""
"Swaziland","2010","2.53",""
"Tajikistan","2013","1.1","1"
"Tajikistan","2010","1.31",""
"Thailand","2013","5.95",""
"Thailand","2010","5.77",""
"Togo","2013","0.73",""
"Togo","2010","0.83",""
"Tonga","2013","0",""
"Tonga","2010","0.00",""
"Trinidad and Tobago","2013","2.98","1"
"Trinidad and Tobago","2010","2.98","1"
"Tunisia","2013","8.91",""
"Tunisia","2010","9.35",""
"Turkey","2013","14.52",""
"Turkey","2010","14.95",""
"Uganda","2013","0.45",""
"Uganda","2010","0.33",""
"United Republic of Tanzania","2013","0.12",""
"United Republic of Tanzania","2010","0.13",""
"Uruguay","2013","12.91",""
"Uruguay","2010","13.06",""
"Vanuatu","2013","0",""
"Vanuatu","2010","0.00",""
"Yemen","2013","3.61",""
"Yemen","2010","2.08",""
"Zambia","2013","0.21",""
"Zambia","2010","0.23",""
"Zimbabwe","2013","0.42",""
"Zimbabwe","2010","0.48",""

"footnoteSeqID","Footnote"
"1","Only public sector data"
"2","Only private sector data"
