"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Cameroon","2008","Female","15.1 [10.1-21.1]",""
"Cameroon","2008","Male","7.0 [3.9-11.0]",""
"Canada","2008","Male","24.6 [21.8-27.5]",""
"Canada","2008","Female","23.9 [19.8-27.8]",""
"Canada","2008","Both sexes","24.3 [21.7-26.8]",""
"Central African Republic","2008","Both sexes","3.7 [1.1-8.0]",""
"Central African Republic","2008","Female","5.3 [1.2-12.4]",""
"Central African Republic","2008","Male","2.0 [0.2-6.8]",""
"Chad","2008","Male","2.4 [0.8-5.1]",""
"Chad","2008","Female","3.8 [1.8-6.8]",""
"Chad","2008","Both sexes","3.1 [1.6-5.1]",""
"Chile","2008","Both sexes","29.1 [24.4-33.8]",""
"Chile","2008","Female","33.6 [26.5-41.0]",""
"Chile","2008","Male","24.5 [18.6-29.8]",""
"China","2008","Male","4.6 [3.5-5.9]",""
"China","2008","Female","6.5 [4.5-8.8]",""
"China","2008","Both sexes","5.6 [4.3-6.9]",""
"Colombia","2008","Both sexes","18.1 [15.4-20.9]",""
"Colombia","2008","Female","23.7 [19.5-27.9]",""
"Colombia","2008","Male","11.9 [9.0-15.3]",""
"Comoros","2008","Male","3.5 [0.6-9.4]",""
"Comoros","2008","Female","5.3 [1.7-10.8]",""
"Comoros","2008","Both sexes","4.4 [1.8-8.3]",""
"Congo","2008","Both sexes","5.3 [2.8-8.2]",""
"Congo","2008","Female","7.5 [3.5-12.5]",""
"Congo","2008","Male","2.8 [0.8-6.4]",""
"Cook Islands","2008","Male","59.7 [52.4-67.4]",""
"Cook Islands","2008","Female","68.5 [59.8-77.3]",""
"Cook Islands","2008","Both sexes","64.1 [58.3-69.8]",""
"Costa Rica","2008","Both sexes","24.6 [20.1-29.3]",""
"Costa Rica","2008","Female","28.3 [21.6-35.3]",""
"Costa Rica","2008","Male","20.9 [14.9-26.9]",""
"Côte d’Ivoire","2008","Male","3.9 [1.3-7.8]",""
"Côte d’Ivoire","2008","Female","9.7 [4.9-15.7]",""
"Côte d’Ivoire","2008","Both sexes","6.7 [3.8-10.0]",""
"Croatia","2008","Both sexes","21.3 [14.8-27.8]",""
"Croatia","2008","Female","19.4 [10.2-29.2]",""
"Croatia","2008","Male","22.8 [14.4-31.3]",""
"Cuba","2008","Male","13.3 [7.9-20.5]",""
"Cuba","2008","Female","27.5 [17.9-37.1]",""
"Cuba","2008","Both sexes","20.5 [15.0-26.4]",""
"Cyprus","2008","Both sexes","23.4 [18.3-28.6]",""
"Cyprus","2008","Female","21.9 [14.6-29.7]",""
"Cyprus","2008","Male","24.8 [18.4-32.0]",""
"Czech Republic","2008","Male","30.5 [25.7-35.5]",""
"Czech Republic","2008","Female","26.5 [21.1-32.1]",""
"Czech Republic","2008","Both sexes","28.7 [25.0-32.5]",""
