Entity,Code,Date,Total COVID-19 tests,Total COVID-19 tests per million people,Confirmed cases,Deaths,Population in 2019 (millions),Population aged 60+ years old (percentage),Population density in 2019,GDP in 2017 (millions of US dollars),GDP per capita in 2017 (US dollars),Physicians (per 1000 population),Hospital beds per 10000 population,CT units per million population,CO2 emissions per capita,Population median age,Adults aged >= 20 years who are obese (%),Prevalence of smoking,Raised blood pressure,Geographic region
Latvia,LVA,3/20/20,3205.0,1693.1,111.0,0.0,1.9067,27.1487,30.655,30463.0,15625.0,3.2,64.0,,3.5,41.44,22.0,34.25,38.3,Northern Europe
Lithuania,LTU,3/20/20,1154.0,404.6,49.0,0.0,2.7596,26.8613,44.0314,47544.0,16450.0,4.3,68.0,20.22,4.4,39.09,24.7,27.3,39.8,Northern Europe
Malaysia,MYS,3/20/20,13876.0,422.2,1030.0,3.0,31.9498,10.6166,97.2448,314707.0,9951.0,1.5,18.0,6.43,8.1,26.99,14.1,19.299999999999997,26.8,South-eastern Asia
Malta,MLT,3/13/20,889.0,2046.7,12.0,0.0,0.4404,27.6348,1376.1625,12553.0,29137.0,3.8,45.0,9.32,5.6,40.65,26.6,21.45,25.1,Southern Europe
Mexico,MEX,3/10/20,278.0,2.1,7.0,0.0,127.5755,10.9519,65.627,1158229.0,8967.0,2.2,16.0,3.65,3.8,26.64,32.8,9.4,24.4,Latin America and the Caribbean
Netherlands,NLD,3/7/20,6000.0,349.2,188.0,1.0,17.0971,26.0631,507.0323,830573.0,48754.0,3.5,47.0,12.23,9.9,41.47,16.2,20.5,23.2,Western Europe
New Zealand,NZL,3/17/20,584.0,120.8,12.0,0.0,4.7831,21.7338,18.1651,202044.0,42935.0,3.0,23.0,15.8,7.7,36.85,27.0,,18.9,Australia and New Zealand
Norway,NOR,3/20/20,43735.0,8025.2,1914.0,7.0,5.3789,22.9632,14.7258,399470.0,75295.0,4.6,33.0,,9.2,38.88,19.8,14.55,28.0,Northern Europe
Pakistan,PAK,3/19/20,1979.0,9.5,454.0,2.0,216.5653,6.6394,280.9326,302139.0,1534.0,1.0,6.0,0.33,0.9,22.23,5.9,23.95,28.4,Southern Asia
Panama,PAN,3/18/20,1455.0,339.2,86.0,1.0,4.2464,11.9273,57.1219,61838.0,15088.0,1.6,22.0,9.58,2.3,27.64,25.8,3.9,28.2,Latin America and the Caribbean
Philippines,PHL,3/20/20,1269.0,11.6,230.0,18.0,108.1166,8.341,362.6006,313595.0,2989.0,1.3,5.0,1.09,1.1,22.74,6.4,21.05,26.2,South-eastern Asia
Poland,POL,3/20/20,13072.0,344.5,425.0,5.0,37.8878,25.4113,123.7232,526212.0,13786.0,2.4,67.0,10.6,7.4,38.55,23.2,21.9,37.2,Eastern Europe
Qatar,QAT,3/17/20,8400.0,3008.8,439.0,0.0,2.8321,3.2577,243.9334,167605.0,63506.0,0.0,12.0,8.3,49.7,31.64,33.1,,32.6,Western Asia
Romania,ROU,3/20/20,8284.0,427.3,308.0,0.0,19.3646,25.6933,84.1315,211804.0,10763.0,2.3,66.0,5.44,3.6,39.09,17.7,24.950000000000003,36.0,Eastern Europe
Russian Federation,RUS,3/19/20,143519.0,998.1,199.0,1.0,145.8723,21.9565,8.9072,1577524.0,10956.0,4.0,97.0,,11.9,38.22,24.9,39.3,34.4,Eastern Europe
Slovakia,SVK,3/20/20,2707.0,496.6,137.0,1.0,5.457,22.8402,113.4797,95618.0,17552.0,2.5,65.0,,5.6,37.87,24.6,26.45,37.3,Eastern Europe
Slovenia,SVN,3/19/20,9860.0,4735.7,286.0,1.0,2.0787,27.2352,103.2102,48456.0,23296.0,3.0,46.0,13.51,6.2,42.1,27.0,17.3,38.0,Southern Europe
South Africa,ZAF,3/20/20,6438.0,109.6,202.0,0.0,58.5583,8.4053,48.272,348872.0,6151.0,0.9,28.0,0.97,9.1,25.7,33.5,16.900000000000002,37.4,Sub-Saharan Africa
Republic of Korea,KOR,3/20/20,316664.0,6148.0,8652.0,94.0,51.2253,22.1182,526.8467,1530751.0,30025.0,2.4,103.0,35.38,11.7,38.85,7.3,23.8,15.6,Eastern Asia
Spain,ESP,3/18/20,30000.0,645.7,13910.0,623.0,46.7368,25.7252,93.6984,1314314.0,28354.0,4.1,32.0,13.85,5.1,40.99,24.1,24.6,23.2,Southern Europe
Sweden,SWE,3/17/20,14300.0,1412.8,1190.0,7.0,10.0364,25.7745,24.4587,535607.0,54043.0,5.4,28.0,,4.5,40.91,16.6,14.95,24.6,Northern Europe
Switzerland,CHE,3/7/20,4000.0,461.3,268.0,1.0,8.5914,24.8448,217.4148,678938.0,80101.0,4.2,52.0,,4.3,41.85,14.9,19.6,20.9,Western Europe
Taiwan,TWN,3/20/20,21376.0,898.9,135.0,2.0,,,,,,,,,,,,,,
Thailand,THA,3/17/20,7084.0,102.1,177.0,1.0,69.6256,18.4579,136.2829,455303.0,6595.0,0.8,21.0,5.95,4.7,36.42,8.5,20.099999999999998,22.3,South-eastern Asia
Turkey,TUR,3/10/20,2900.0,34.6,0.0,0.0,83.4296,12.7289,108.4022,851542.0,10546.0,1.8,25.0,14.52,4.5,29.04,29.3,19.95,24.5,Western Asia
Ukraine,UKR,3/20/20,316.0,7.3,29.0,3.0,43.9936,23.3712,75.9401,112154.0,2536.0,3.0,87.0,,5.1,39.62,20.1,28.3,40.3,Eastern Europe
United Arab Emirates,ARE,3/16/20,125000.0,12738.0,98.0,0.0,9.7705,2.7993,116.8724,382575.0,40699.0,2.4,19.0,,23.2,29.37,33.7,,27.7,Western Asia
United Kingdom,GBR,3/19/20,64621.0,959.7,2716.0,138.0,67.5302,24.135,279.131,2631228.0,39758.0,2.8,33.0,,6.5,40.07,24.9,14.35,23.4,Northern Europe
United States of America,USA,3/19/20,103945.0,313.6,13677.0,200.0,329.0649,22.418,35.9735,19485394.0,60055.0,2.6,30.0,,16.2,37.3,31.8,13.4,15.6,Northern America
Viet Nam,VNM,3/20/20,15637.0,159.0,91.0,0.0,96.4621,11.8554,311.0978,223780.0,2342.0,0.8,31.0,,1.8,29.41,1.6,23.3,26.1,South-eastern Asia
